temp_max,temp_min,rainfall,humidity,wind_speed,soil_moisture,ndvi,altitude,fall_armyworm,ear_rot,stem_borer,corn_earworm,locust
32.5,24.3,2.5,72.1,3.3,50.3,0.55,1208.9,Medium,Low,None,High,Medium
39.4,23.6,3.2,86.6,3.0,10.8,0.72,1265.8,None,None,None,None,Low
36.8,21.7,9.6,51.3,1.8,19.3,0.59,2365.3,Low,None,Medium,High,High
35.2,25.6,2.1,51.5,5.1,42.7,0.26,930.5,Medium,High,High,Low,None
29.9,18.0,10.2,72.8,4.1,28.8,0.33,1836.3,Low,Low,Medium,None,Medium
29.9,17.1,0.5,92.3,7.0,59.1,0.35,1959.0,Medium,Medium,None,Low,Medium
28.7,24.5,7.5,65.7,0.7,43.3,0.38,1659.4,High,Medium,None,Medium,High
38.4,20.4,9.4,61.3,5.3,57.8,0.6,1980.2,None,High,None,None,Low
35.2,24.5,1.0,75.3,6.2,20.1,0.55,1093.7,Medium,None,Low,Medium,Medium
36.5,24.9,2.8,91.5,6.2,53.2,0.34,2249.5,None,Low,None,High,Low
28.2,16.6,0.9,86.8,7.1,26.1,0.25,1038.0,Low,Low,High,Low,Low
39.6,24.8,6.1,94.8,6.0,59.5,0.32,1481.4,None,Low,Medium,Low,High
38.0,20.5,3.8,46.1,7.5,17.9,0.89,927.9,None,High,Medium,Low,High
30.5,21.1,5.0,50.6,3.0,35.8,0.53,1726.9,Low,High,None,High,Medium
30.2,22.3,1.1,75.5,4.3,49.6,0.81,1938.6,Low,Low,None,None,Low
30.2,25.3,1.2,86.0,0.6,31.6,0.79,2400.1,High,High,Medium,Low,High
31.7,16.2,0.2,59.3,0.6,33.4,0.56,2056.9,Medium,Low,High,Low,None
34.3,20.8,1.9,57.0,2.3,59.3,0.69,1719.9,High,High,Medium,High,None
33.2,22.9,4.1,84.3,1.3,31.3,0.33,2385.4,Medium,None,High,None,Medium
31.5,23.2,9.8,47.8,2.5,40.2,0.68,1613.3,None,High,High,Low,Low
35.3,22.9,5.5,63.5,1.8,12.7,0.39,1754.0,Low,Low,None,Low,High
29.7,17.3,2.9,70.3,0.7,52.1,0.78,1813.4,Low,None,None,High,Low
31.5,19.0,15.3,73.0,7.3,42.4,0.26,1497.0,Low,Low,Medium,None,Low
32.4,19.6,6.4,81.4,0.6,30.2,0.74,2225.4,Medium,Low,Low,Medium,Medium
33.5,24.0,13.3,62.7,6.0,10.8,0.27,1114.8,Medium,Medium,Low,None,High
37.4,18.8,3.7,75.6,1.6,39.6,0.82,1743.2,Low,None,Low,High,Low
30.4,18.1,1.5,74.3,7.3,10.6,0.41,2027.8,None,Medium,Low,Medium,None
34.2,25.6,0.3,72.4,7.2,10.1,0.66,2336.8,None,Medium,High,Medium,High
35.1,16.1,6.5,77.0,5.4,40.8,0.54,2302.7,None,Medium,None,Low,Low
28.6,26.0,0.6,58.0,5.5,19.5,0.46,1664.9,None,High,Low,Low,None
35.3,22.8,1.8,49.2,0.5,19.6,0.65,1893.4,High,None,Medium,None,Medium
30.0,24.3,3.8,51.0,7.9,42.7,0.86,1470.2,None,Medium,Medium,Medium,None
28.8,18.9,4.2,56.2,7.1,12.7,0.23,1595.9,Medium,High,Medium,High,High
39.4,16.1,4.6,70.0,7.2,25.7,0.84,2340.7,Low,Medium,High,Low,Medium
39.6,23.4,0.9,87.0,5.4,17.5,0.63,2382.2,None,Medium,High,High,High
37.7,24.3,2.4,80.1,3.1,39.0,0.77,2322.2,High,Medium,Medium,None,Low
31.7,23.4,4.8,84.5,7.2,43.1,0.47,1035.2,Medium,Low,None,High,High
29.2,17.4,17.5,62.5,2.7,46.1,0.53,2245.1,None,Medium,Low,Low,None
36.2,23.5,6.5,65.2,4.7,22.8,0.81,2412.2,High,High,Medium,Low,None
